condition,DC,AC,f_Hz,kappa,tau_label,dt_X5A,dt_X2,dt_v01,dt_exp,s_X5A,s_X2,s_v01,s_exp,X5A_vs_exp,X2_vs_exp,v01_vs_exp,X5A_vs_X2
0.1+0.9C 1τ,0.1,0.9,0.0143,9.0,1τ,2.1775672496291616,0.25810054316322445,-0.736937221643105,2.88,+,+,-,+,True,True,False,True
0.1+0.2C 1τ,0.1,0.2,0.0143,2.0,1τ,-0.5502150812602243,-0.5277111475213435,-0.5335540022316005,0.59,-,-,-,+,False,False,False,True
0.2+0.3C 1τ,0.2,0.3,0.0143,1.4999999999999998,1τ,-0.5765971242286468,-0.5770289564070784,-0.5363552854784454,0.17,-,-,-,+,False,False,False,True
0.2+0.3C 10τ,0.2,0.3,0.00143,1.4999999999999998,10τ,-5.296641195640829,-5.296116363517376,-5.315077728428363,5.05,-,-,-,+,False,False,False,True
0.2+0.3C 34.8τ,0.2,0.3,0.00041,1.4999999999999998,34.8τ,-2.1491048793333904,-1.3949408625394122,-18.816372697879977,15.03,-,-,-,+,False,False,False,True
0.2+0.8C 0.1τ,0.2,0.8,0.143,4.0,0.1τ,1.394549325630578,-0.09246042920700953,-0.07511867232960867,1.26,+,-,-,+,True,False,False,False
0.2+0.8C 1τ,0.2,0.8,0.0143,4.0,1τ,4.144834349829307,1.0036699768817017,1.005184635098855,3.77,+,+,+,+,True,True,True,True
0.2+0.8C 10τ,0.2,0.8,0.00143,4.0,10τ,9.326338160326335,,,15.31,+,,,+,True,,,
0.3+0.7C 0.1τ,0.3,0.7,0.143,2.3333333333333335,0.1τ,2.486447820769869,0.7764997434159038,1.0699974217783772,0.02,+,+,+,0,False,False,False,True
0.3+0.7C 1τ,0.3,0.7,0.0143,2.3333333333333335,1τ,3.5853661774760743,1.8134854177471122,2.4931307865528347,2.97,+,+,+,+,True,True,True,True
0.3+0.7C 10τ,0.3,0.7,0.00143,2.3333333333333335,10τ,7.268975396650543,0.16263854323227253,0.05882969201541831,8.67,+,+,+,+,True,True,True,True
0.3+0.4C 0.1τ,0.3,0.4,0.143,1.3333333333333335,0.1τ,-0.26316298863739573,-0.14688212498901218,-0.03436698806553977,0.01,-,-,0,0,False,False,True,True
0.3+0.4C 1τ,0.3,0.4,0.0143,1.3333333333333335,1τ,-0.1701515312898664,-0.15373429597727106,-0.11302456620796875,0.09,-,-,-,+,False,False,False,True
0.3+0.4C 10τ,0.3,0.4,0.00143,1.3333333333333335,10τ,0.7674267192990859,-4.92511198498302,-4.920743685161324,0.94,+,-,-,+,True,False,False,False
0.4+0.6C 0.5τ,0.4,0.6,0.0286,1.4999999999999998,0.5τ,2.454544508071846,1.4476875336245787,1.678144509414445,1.31,+,+,+,+,True,True,True,True
0.4+0.5C 1.67τ,0.4,0.5,0.0086,1.25,1.67τ,2.5607205594548605,1.1178258457781947,1.106192191940651,1.46,+,+,+,+,True,True,True,True
0.4+0.6C 1.67τ,0.4,0.6,0.0086,1.4999999999999998,1.67τ,2.54847857807146,1.9724396058198332,1.9270666406962997,1.51,+,+,+,+,True,True,True,True
0.4+0.6C 5τ,0.4,0.6,0.00286,1.4999999999999998,5τ,2.315870944054253,2.771691107652077,2.6402908376355145,5.12,+,+,+,+,True,True,True,True
0.4+0.6C 10τ,0.4,0.6,0.00143,1.4999999999999998,10τ,2.2827658901482817,2.854614390222362,2.670627777051732,4.72,+,+,+,+,True,True,True,True
0.5+0.5C 1τ,0.5,0.5,0.0143,1.0,1τ,1.8522542757639562,1.3981401566854552,1.3406661468823737,1.27,+,+,+,+,True,True,True,True
0.9+0.1C 16.7τ,0.9,0.1,0.00086,0.11111111111111112,16.7τ,-0.676081639850463,-0.647183705193667,-0.6668037055858955,0.61,-,-,-,+,False,False,False,True
0.9+0.1C 1.67τ,0.9,0.1,0.0086,0.11111111111111112,1.67τ,-0.023712189895991286,-0.05195385377197302,-0.00432778857506643,0.02,0,-,0,0,True,False,True,False
0.9+0.1C 10τ,0.9,0.1,0.00143,0.11111111111111112,10τ,-0.16259956005106535,-0.2761109818849415,-0.20716889879242142,0.04,-,-,-,0,False,False,False,True
0.9+0.1C 1τ,0.9,0.1,0.0143,0.11111111111111112,1τ,-0.03370710695899864,-0.031191120723019595,-0.021695616265484812,-0.05,0,0,0,0,True,True,True,True
0.2+0.8C 10τ,0.2,0.8,0.00143,4.0,10τ,9.326338160326335,,,15.31,+,,,+,True,,,
