parameter_set,model_type,condition,reference_condition,Q_Ah,feature_id,x_DC,x_DCAC,delta_x,t_DC_s,t_DCAC_s,delta_t_raw_s,tau_factor_set,omega_tau_set,f_Hz,period_s
Chen2020,DFN,Chen2020_DFN_fine_DC03_AC07_0p5tauSet,Chen2020_DFN_fine_DC03,0.2,neg_avg_sto,0.10487875974534007,0.10485160928433548,-2.715046100458529e-05,479.9999999999992,396.0674872465661,83.93251275343312,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_fine_DC03_AC07_0p5tauSet,Chen2020_DFN_fine_DC03,0.2,neg_avg_surface_sto,0.10982824912880139,0.11432420604175401,0.0044959569129526256,479.9999999999992,396.0674872465661,83.93251275343312,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_fine_DC03_AC07_0p5tauSet,Chen2020_DFN_fine_DC03,0.2,neg_max_surface_sto,0.11282757354536864,0.11984498459575287,0.007017411050384226,479.9999999999992,396.0674872465661,83.93251275343312,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_fine_DC03_AC07_0p5tauSet,Chen2020_DFN_fine_DC03,0.2,neg_min_surface_sto,0.10823320396342406,0.11149380654341842,0.0032606025799943594,479.9999999999992,396.0674872465661,83.93251275343312,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_fine_DC03_AC07_0p5tauSet,Chen2020_DFN_fine_DC03,0.2,pos_avg_sto,0.8015647773936018,0.8015828965718355,1.8119178233688693e-05,479.9999999999992,396.0674872465661,83.93251275343312,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_fine_DC03_AC07_0p5tauSet,Chen2020_DFN_fine_DC03,0.2,pos_avg_surface_sto,0.7826530095082835,0.7731054585405046,-0.009547550967778928,479.9999999999992,396.0674872465661,83.93251275343312,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_fine_DC03_AC07_0p5tauSet,Chen2020_DFN_fine_DC03,0.2,elyte_c_mean,983.1285067661867,966.005433814387,-17.123072951799713,479.9999999999992,396.0674872465661,83.93251275343312,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_fine_DC03_AC07_0p5tauSet,Chen2020_DFN_fine_DC03,0.2,elyte_c_range,351.3687757808939,730.4675596146365,379.0987838337426,479.9999999999992,396.0674872465661,83.93251275343312,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_fine_DC03_AC07_0p5tauSet,Chen2020_DFN_fine_DC03,0.2,eta_n_mean,-0.04988222991147024,-0.06736403913962308,-0.017481809228152838,479.9999999999992,396.0674872465661,83.93251275343312,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_fine_DC03_AC07_0p5tauSet,Chen2020_DFN_fine_DC03,0.2,eta_p_mean,0.004378049242598056,0.00582793915281532,0.0014498899102172638,479.9999999999992,396.0674872465661,83.93251275343312,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_fine_DC03_AC07_0p5tauSet,Chen2020_DFN_fine_DC03,0.2,j_n_mean_signed,-0.4464743273896474,-0.6320647673092434,-0.18559043991959606,479.9999999999992,396.0674872465661,83.93251275343312,0.5,2.0,0.008764875571101144,114.09175086262731
Chen2020,DFN,Chen2020_DFN_fine_DC03_AC07_0p5tauSet,Chen2020_DFN_fine_DC03,0.2,j_p_mean_signed,0.50550636547448,0.7156318658646096,0.21012550039012956,479.9999999999992,396.0674872465661,83.93251275343312,0.5,2.0,0.008764875571101144,114.09175086262731
